name;ilot;sensor;interval;n_samples;train_set_size;serie_length;to_predict;overlap;absolute_error;mean_squared_error;dtw_dist;accuracy;f-measure;jaccard
LSTM64-ReLU16-Sigm1;ilot1;co2;3600;6240;4992;2;1;1;0.02759762538657282;0.0034979270759932005;not computed;0.9294871794871795;0.9294871794871795;0.9294871794871795
LinearRegression;ilot1;co2;3600;6240;4992;2;1;1;0.028357777411401025;0.0034784354926452243;not computed;0.9262820512820513;0.9262820512820513;0.9262820512820513
LSTM64-ReLU16-Sigm1;ilot1;co2;300;18475;10000;2;1;1;0.0061084179125730585;0.00015761333920578726;not computed;0.9846153846153847;0.9846153846153847;0.9846153846153847
LinearRegression;ilot1;co2;300;18475;10000;2;1;1;0.006010324682737876;0.00014768285096286284;not computed;0.9840802675585284;0.9840802675585284;0.9840802675585284
LSTM64-ReLU16-Sigm1;ilot1;hum;3600;6240;4992;2;1;1;0.025786607102277415;0.001254798916299178;not computed;0.8189102564102564;0.8189102564102565;0.8189102564102564
LinearRegression;ilot1;hum;3600;6240;4992;2;1;1;0.020980692906089848;0.0009631926727675957;not computed;0.8525641025641025;0.8525641025641025;0.8525641025641025
LSTM64-ReLU16-Sigm1;ilot1;hum;300;18475;10000;2;1;1;0.0065580428507368985;7.492771510645986e-05;not computed;0.877056856187291;0.877056856187291;0.877056856187291
LinearRegression;ilot1;hum;300;18475;10000;2;1;1;0.0051357269581078484;5.1886257700224926e-05;not computed;0.88;0.88;0.88
LSTM64-ReLU16-Sigm1;ilot1;lum;3600;6246;4996;2;1;1;0.08519860142296559;0.017488820109673172;not computed;0.7152;0.7152;0.7152
LinearRegression;ilot1;lum;3600;6246;4996;2;1;1;0.09467721004561279;0.019642644991807106;not computed;0.7216;0.7216;0.7216
LSTM64-ReLU16-Sigm1;ilot1;lum;300;18482;10000;2;1;1;0.028844916842567646;0.0037720266718141533;not computed;0.7997861534349104;0.7997861534349104;0.7997861534349104
LinearRegression;ilot1;lum;300;18482;10000;2;1;1;0.026148062879119385;0.0035577266246087954;not computed;0.8075380914194066;0.8075380914194066;0.8075380914194066
LSTM64-ReLU16-Sigm1;ilot1;temp;3600;6244;4995;2;1;1;0.016003755149198877;0.0005758405071936247;not computed;0.7808;0.7808;0.7808
LinearRegression;ilot1;temp;3600;6244;4995;2;1;1;0.014933716876536456;0.0005272305557480982;not computed;0.76;0.76;0.76
LSTM64-ReLU16-Sigm1;ilot1;temp;300;18481;10000;2;1;1;0.005089411585311945;4.8911293619740493e-05;not computed;0.9188611148242214;0.9188611148242214;0.9188611148242214
LinearRegression;ilot1;temp;300;18481;10000;2;1;1;0.004339527377524892;3.455713072100548e-05;not computed;0.9280844806844005;0.9280844806844005;0.9280844806844005
LSTM64-ReLU16-Sigm1;ilot1;co2;3600;6168;4934;16;4;1;0.09199660738980033;0.01757458826330594;not computed;0.9222042139384117;0.9222042139384117;0.9222042139384117
LinearRegression;ilot1;co2;3600;6168;4934;16;4;1;0.09546451152564461;0.01781795261559119;not computed;0.9222042139384117;0.9222042139384117;0.9222042139384117
LSTM64-ReLU16-Sigm1;ilot1;co2;300;18468;10000;16;4;1;0.047566088950932284;0.006485896450831399;not computed;0.9015800749866095;0.9015800749866095;0.9015800749866095
LinearRegression;ilot1;co2;300;18468;10000;16;4;1;0.04756465280445433;0.006640716871950595;not computed;0.901981788966256;0.901981788966256;0.901981788966256
LSTM64-ReLU16-Sigm1;ilot1;hum;3600;6168;4934;16;4;1;0.12853136958904918;0.02605970243802227;not computed;0.3873581847649919;0.3873581847649919;0.3873581847649919
LinearRegression;ilot1;hum;3600;6168;4934;16;4;1;0.1316976031088931;0.02713101400982341;not computed;0.3679092382495948;0.3679092382495948;0.3679092382495948
LSTM64-ReLU16-Sigm1;ilot1;hum;300;18469;10000;16;4;1;0.06622758414646489;0.008006719156566172;not computed;0.5967331637434731;0.5967331637434731;0.5967331637434731
LinearRegression;ilot1;hum;300;18469;10000;16;4;1;0.06484339771462848;0.007854368919112568;not computed;0.595662069888874;0.595662069888874;0.595662069888874
LSTM64-ReLU16-Sigm1;ilot1;lum;3600;6184;4947;16;4;1;0.09522452226557503;0.015089676578063493;not computed;0.555735056542811;0.555735056542811;0.555735056542811
LinearRegression;ilot1;lum;3600;6184;4947;16;4;1;0.09726600580175805;0.015978338720605292;not computed;0.5896607431340872;0.5896607431340872;0.5896607431340872
LSTM64-ReLU16-Sigm1;ilot1;lum;300;18476;10000;16;4;1;0.21244341971474892;0.07638466804040563;not computed;0.562199036918138;0.562199036918138;0.562199036918138
LinearRegression;ilot1;lum;300;18476;10000;16;4;1;0.24207911033066473;0.08942502546181982;not computed;0.5271535580524345;0.5271535580524345;0.5271535580524345
LSTM64-ReLU16-Sigm1;ilot1;temp;3600;6168;4934;16;4;1;0.05908808017901678;0.005154733595977217;not computed;0.3679092382495948;0.3679092382495948;0.3679092382495948
LinearRegression;ilot1;temp;3600;6168;4934;16;4;1;0.062132603563605414;0.0057532806819516405;not computed;0.34846029173419774;0.34846029173419774;0.34846029173419774
LSTM64-ReLU16-Sigm1;ilot1;temp;300;18474;10000;16;4;1;0.046823288332993776;0.003922794414692183;not computed;0.4594594594594595;0.4594594594594595;0.4594594594594595
LinearRegression;ilot1;temp;300;18474;10000;16;4;1;0.0487599091091103;0.004214483514805005;not computed;0.44755151190794756;0.44755151190794756;0.44755151190794756
LSTM64-ReLU16-Sigm1;ilot1;co2;3600;5720;4576;32;16;1;0.11239998624453222;0.022448614928968075;not computed;0.9493006993006993;0.9493006993006993;0.9493006993006993
LinearRegression;ilot1;co2;3600;5720;4576;32;16;1;0.10911558396244643;0.022626855516982382;not computed;0.9493006993006993;0.9493006993006993;0.9493006993006993
LSTM64-ReLU16-Sigm1;ilot1;co2;300;18421;10000;32;16;1;0.05504816675721172;0.00817432920716487;not computed;0.9052688316938418;0.9052688316938418;0.9052688316938418
LinearRegression;ilot1;co2;300;18421;10000;32;16;1;0.05712885276565836;0.008496219160576577;not computed;0.8967794097830482;0.8967794097830482;0.8967794097830482
LSTM64-ReLU16-Sigm1;ilot1;hum;3600;5720;4576;32;16;1;0.16643961867880383;0.039151005660233336;not computed;0.22377622377622378;0.22377622377622378;0.22377622377622378
LinearRegression;ilot1;hum;3600;5720;4576;32;16;1;0.1669734624650975;0.03959710725665078;not computed;0.26573426573426573;0.26573426573426573;0.26573426573426573
LSTM64-ReLU16-Sigm1;ilot1;hum;300;18424;10000;32;16;1;0.13819061436039368;0.02971253845474952;not computed;0.35748922413793105;0.357489224137931;0.35748922413793105
