ilot;type;timestamp;value
ilot2;temp;1505127194;24.16
ilot2;co2;1505127194;361
ilot2;lum;1505127203;143
ilot2;lum;1505127223;146
ilot2;lum;1505127243;151
ilot2;hum;1505127245;42
ilot2;temp;1505127254;24.13
ilot2;co2;1505127254;346
ilot2;lum;1505127263;155
ilot2;lum;1505127283;148
ilot2;lum;1505127303;146
ilot2;hum;1505127305;42
ilot2;temp;1505127314;23.61
ilot2;co2;1505127315;347
ilot2;lum;1505127323;144
ilot2;lum;1505127343;144
ilot2;lum;1505127363;155
ilot2;hum;1505127365;42
ilot2;temp;1505127375;24.09
ilot2;co2;1505127375;349
ilot2;lum;1505127384;156
ilot2;lum;1505127404;153
ilot2;lum;1505127424;152
ilot2;hum;1505127425;41
ilot2;temp;1505127435;24.09
ilot2;co2;1505127435;344
ilot2;lum;1505127444;159
ilot2;lum;1505127464;160
ilot2;lum;1505127484;162
ilot2;hum;1505127485;41
ilot2;temp;1505127495;24.02
ilot2;co2;1505127495;375
ilot2;lum;1505127504;166
ilot2;lum;1505127524;169
ilot2;lum;1505127544;168
ilot2;hum;1505127545;42
ilot2;temp;1505127555;24.02
ilot2;co2;1505127555;351
ilot2;lum;1505127564;167
ilot2;lum;1505127584;171
ilot2;lum;1505127604;172
ilot2;hum;1505127605;42
ilot2;temp;1505127615;23.92
ilot2;co2;1505127615;347
ilot2;lum;1505127624;173
ilot2;lum;1505127644;170
ilot2;lum;1505127665;168
ilot2;hum;1505127666;41
ilot2;temp;1505127675;23.30
ilot2;co2;1505127675;351
ilot2;lum;1505127685;165
ilot2;lum;1505127705;163
ilot2;lum;1505127725;166
ilot2;hum;1505127726;41
ilot2;temp;1505127735;23.99
ilot2;co2;1505127735;344
ilot2;lum;1505127745;164
ilot2;lum;1505127765;156
ilot2;lum;1505127785;160
ilot2;hum;1505127786;40
ilot2;temp;1505127795;23.71
ilot2;co2;1505127795;344
ilot2;lum;1505127805;156
ilot2;lum;1505127825;154
ilot2;lum;1505127845;151
ilot2;hum;1505127846;41
ilot2;temp;1505127855;23.99
ilot2;co2;1505127855;342
ilot2;lum;1505127865;144
ilot2;lum;1505127885;145
ilot2;lum;1505127905;143
ilot2;hum;1505127906;40
ilot2;temp;1505127915;24.06
ilot2;co2;1505127915;349
ilot2;lum;1505127925;143
ilot2;lum;1505127945;140
ilot2;lum;1505127966;133
ilot2;hum;1505127966;41
ilot2;temp;1505127975;23.78
ilot2;co2;1505127975;338
ilot2;lum;1505127986;133
ilot2;lum;1505128006;133
ilot2;lum;1505128026;129
ilot2;hum;1505128026;41
ilot2;temp;1505128036;23.78
ilot2;co2;1505128036;340
ilot2;lum;1505128046;127
ilot2;lum;1505128066;125
ilot2;lum;1505128086;121
ilot2;hum;1505128086;40
ilot2;temp;1505128096;24.02
ilot2;co2;1505128096;349
ilot2;lum;1505128106;117
ilot2;lum;1505128126;124
ilot2;hum;1505128146;41
ilot2;lum;1505128146;123
ilot2;temp;1505128156;23.78
ilot2;co2;1505128156;347
ilot2;lum;1505128166;128
ilot2;lum;1505128186;152
ilot2;hum;1505128206;40
ilot2;lum;1505128206;157
ilot2;temp;1505128216;23.68
ilot2;co2;1505128216;347
ilot2;lum;1505128226;152
ilot2;lum;1505128247;131
ilot2;hum;1505128266;40
ilot2;lum;1505128267;131
ilot2;temp;1505128276;23.51
ilot2;co2;1505128276;369
ilot2;lum;1505128287;152
ilot2;lum;1505128307;149
ilot2;hum;1505128326;40
ilot2;lum;1505128327;173
ilot2;temp;1505128336;23.99
ilot2;co2;1505128336;367
ilot2;lum;1505128347;210
ilot2;lum;1505128367;204
